total in seconds,datetime(utc),channels,ArcusPotentialDronePlots_timestamp,ArcusPotentialDronPlot_id,ArcusPotentialDronPlot_rcs,ArcusPotentiaDronPlotsPlot_timestamp,ArcusPotentiaDronPlotPlotPosition_altitude,ArcusPotentialDronPlotsPlotPosition_latitude,ArcusPotentialDronPlotsPlotPosition_longitude,ArcusTracks_timestamp,ArcusTracksTrack_id,ArcusTracksTrack_Timestamp,ArcusTracksTrackPosition_Latitude,ArcusTracksTrackPosition_Longitude,ArcusTracksTrackPosition_Altitude,ArcusTracksTrackVelocity_Azimuth,ArcusTracksTrackVelocity_Elevation,ArcusTracksTrackVelocity_Speed,ArcusTracksTrack_Classification,ArcusTracksTrack_Reflection,ArcusTracksTrack_Score,ArcusTracksTrack_Alarm,ArcusSystemStatus_timestamp,ArcusSystemStatus_Name,ArcusSystemStatus_Version,ArcusSystemStatus_OperationalState,ArcusSystemStatusSensor_Name,ArcusSystemStatusSensor_Version,ArcusSystemStatusSensor_OperationalState,ArcusSystemStatusSensorPosition_Latitude,ArcusSystemStatusSensorPosition_Longitude,ArcusSystemStatusSensorPosition_Altitude,ArcusSystemStatusSensorStatusOrientetation_Azimuth,ArcusSystemStatusSensorStatusOrientetation_Elevation,ArcusSystemStatusSensorStatus_SensorType,ArcusSystemStatusSensorStatusBlankSector_Angle,ArcusSystemStatusSensorStatusBlankSector_Span,ArcusSystemStatusSensorStatusProcessing_Sensitivity,SystemStatusSensorStatus_Messages
1601381937,2020-09-29 12:18:57,,,,,,,,,,,,,,,,,,,,,,2020-09-29T12:18:57.845Z,Iris,20.10.0 (trunk 32309),operational,GPS,20.10.0 (trunk 32309),idle,51.52149,5.87059167,30.0,-155.61763,0.0,3DSearchRadar,0.78539819,2.3561945,0.0,Data connection OKControl connection OKConstructing
1601381937,2020-09-29 12:18:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14159274,0.0,,
1601381940,2020-09-29 12:19:00,,,,,,,,,,,,,,,,,,,,,,2020-09-29T12:19:00.845Z,Iris,20.10.0 (trunk 32309),operational,GPS,20.10.0 (trunk 32309),idle,51.52149,5.87059167,30.0,-155.61763,0.0,3DSearchRadar,0.78539819,2.3561945,0.0,Data connection OKControl connection OKConstructing
1601381940,2020-09-29 12:19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14159274,0.0,,
1601381943,2020-09-29 12:19:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14159274,0.0,,
1601381943,2020-09-29 12:19:03,,,,,,,,,,,,,,,,,,,,,,2020-09-29T12:19:03.845Z,Iris,20.10.0 (trunk 32309),operational,GPS,20.10.0 (trunk 32309),idle,51.52149,5.87059167,30.0,-155.61763,0.0,3DSearchRadar,0.78539819,2.3561945,0.0,Data connection OKControl connection OKConstructing
1601381946,2020-09-29 12:19:06,,,,,,,,,,,,,,,,,,,,,,2020-09-29T12:19:06.845Z,Iris,20.10.0 (trunk 32309),operational,GPS,20.10.0 (trunk 32309),idle,51.52149,5.87059167,30.0,-155.61763,0.0,3DSearchRadar,0.78539819,2.3561945,0.0,Data connection OKControl connection OKConstructing
1601381946,2020-09-29 12:19:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14159274,0.0,,
1601381949,2020-09-29 12:19:09,,,,,,,,,,,,,,,,,,,,,,2020-09-29T12:19:09.845Z,Iris,20.10.0 (trunk 32309),operational,GPS,20.10.0 (trunk 32309),idle,51.52149,5.87059167,30.0,-155.61763,0.0,3DSearchRadar,0.78539819,2.3561945,0.0,Data connection OKControl connection OKConstructing
1601381949,2020-09-29 12:19:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14159274,0.0,,
1601381952,2020-09-29 12:19:12,,,,,,,,,,,,,,,,,,,,,,2020-09-29T12:19:12.844Z,Iris,20.10.0 (trunk 32309),operational,GPS,20.10.0 (trunk 32309),idle,51.52149,5.87059167,30.0,-155.61763,0.0,3DSearchRadar,0.78539819,2.3561945,0.0,Data connection OKControl connection OKConstructing
1601381952,2020-09-29 12:19:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14159274,0.0,,
1601381955,2020-09-29 12:19:15,,,,,,,,,,,,,,,,,,,,,,2020-09-29T12:19:15.845Z,Iris,20.10.0 (trunk 32309),operational,GPS,20.10.0 (trunk 32309),idle,51.52149,5.87059167,30.0,-155.61763,0.0,3DSearchRadar,0.78539819,2.3561945,0.0,Radar runningData connection OKControl connection OKConstructing
1601381955,2020-09-29 12:19:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14159274,0.0,,
1601381958,2020-09-29 12:19:18,,,,,,,,,,,,,,,,,,,,,,2020-09-29T12:19:18.845Z,Iris,20.10.0 (trunk 32309),operational,GPS,20.10.0 (trunk 32309),operational,51.52149,5.87059167,30.0,-155.61763,0.0,3DSearchRadar,0.78539819,2.3561945,0.0,Radar runningData connection OKControl connection OKConstructing
1601381958,2020-09-29 12:19:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14159274,0.0,,
1601381961,2020-09-29 12:19:21,,,,,,,,,,,,,,,,,,,,,,2020-09-29T12:19:21.845Z,Iris,20.10.0 (trunk 32309),operational,GPS,20.10.0 (trunk 32309),operational,51.52149,5.87059167,30.0,-155.61763,0.0,3DSearchRadar,0.78539819,2.3561945,0.0,Radar runningData connection OKControl connection OKConstructing
1601381961,2020-09-29 12:19:21,,2020-09-29T12:19:21.771Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381961,2020-09-29 12:19:21,,2020-09-29T12:19:21.755Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381961,2020-09-29 12:19:21,,,,,,,,,2020-09-29T12:19:21.794Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381961,2020-09-29 12:19:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14159274,0.0,,
1601381962,2020-09-29 12:19:22,,2020-09-29T12:19:22.632Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381962,2020-09-29 12:19:22,,2020-09-29T12:19:22.644Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381962,2020-09-29 12:19:22,,,,,,,,,2020-09-29T12:19:22.645Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381963,2020-09-29 12:19:23,,,,,,,,,2020-09-29T12:19:23.745Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381963,2020-09-29 12:19:23,,2020-09-29T12:19:23.661Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381963,2020-09-29 12:19:23,,2020-09-29T12:19:23.696Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381964,2020-09-29 12:19:24,,,,,,,,,,,,,,,,,,,,,,2020-09-29T12:19:24.845Z,Iris,20.10.0 (trunk 32309),operational,GPS,20.10.0 (trunk 32309),operational,51.52149,5.87059167,30.0,-155.61763,0.0,3DSearchRadar,0.78539819,2.3561945,3.0,Radar runningData connection OKControl connection OKConstructing
1601381964,2020-09-29 12:19:24,,2020-09-29T12:19:24.624Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381964,2020-09-29 12:19:24,,,,,,,,,2020-09-29T12:19:24.644Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381964,2020-09-29 12:19:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14159274,0.0,,
1601381964,2020-09-29 12:19:24,,2020-09-29T12:19:24.554Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381965,2020-09-29 12:19:25,,2020-09-29T12:19:25.639Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381965,2020-09-29 12:19:25,,2020-09-29T12:19:25.643Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381965,2020-09-29 12:19:25,,,,,,,,,2020-09-29T12:19:25.645Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381966,2020-09-29 12:19:26,,2020-09-29T12:19:26.630Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381966,2020-09-29 12:19:26,,2020-09-29T12:19:26.621Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381966,2020-09-29 12:19:26,,,,,,,,,2020-09-29T12:19:26.644Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381967,2020-09-29 12:19:27,,,,,,,,,,,,,,,,,,,,,,2020-09-29T12:19:27.844Z,Iris,20.10.0 (trunk 32309),operational,GPS,20.10.0 (trunk 32309),operational,51.52149,5.87059167,30.0,-155.61763,0.0,3DSearchRadar,0.78539819,2.3561945,4.0,Radar runningData connection OKControl connection OKConstructing
1601381967,2020-09-29 12:19:27,,2020-09-29T12:19:27.631Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381967,2020-09-29 12:19:27,,,,,,,,,2020-09-29T12:19:27.645Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381967,2020-09-29 12:19:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14159274,0.0,,
1601381967,2020-09-29 12:19:27,,2020-09-29T12:19:27.573Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381968,2020-09-29 12:19:28,,,,,,,,,2020-09-29T12:19:28.694Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381968,2020-09-29 12:19:28,,2020-09-29T12:19:28.669Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381968,2020-09-29 12:19:28,,2020-09-29T12:19:28.652Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381969,2020-09-29 12:19:29,,2020-09-29T12:19:29.621Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381969,2020-09-29 12:19:29,,2020-09-29T12:19:29.676Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381969,2020-09-29 12:19:29,,,,,,,,,2020-09-29T12:19:29.694Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381970,2020-09-29 12:19:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14159274,0.0,,
1601381970,2020-09-29 12:19:30,,,,,,,,,2020-09-29T12:19:30.645Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381970,2020-09-29 12:19:30,,2020-09-29T12:19:30.644Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381970,2020-09-29 12:19:30,,2020-09-29T12:19:30.636Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381970,2020-09-29 12:19:30,,,,,,,,,,,,,,,,,,,,,,2020-09-29T12:19:30.845Z,Iris,20.10.0 (trunk 32309),operational,GPS,20.10.0 (trunk 32309),operational,51.52149,5.87059167,30.0,-155.61763,0.0,3DSearchRadar,0.78539819,2.3561945,8.0,Radar runningData connection OKControl connection OKConstructing
1601381972,2020-09-29 12:19:32,,2020-09-29T12:19:32.893Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381972,2020-09-29 12:19:32,,2020-09-29T12:19:32.892Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381973,2020-09-29 12:19:33,,2020-09-29T12:19:33.642Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381973,2020-09-29 12:19:33,,2020-09-29T12:19:33.688Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381973,2020-09-29 12:19:33,,,,,,,,,,,,,,,,,,,,,,2020-09-29T12:19:33.844Z,Iris,20.10.0 (trunk 32309),operational,GPS,20.10.0 (trunk 32309),operational,51.52149,5.87059167,30.0,-155.61763,0.0,3DSearchRadar,0.78539819,2.3561945,10.0,Radar runningData connection OKControl connection OKConstructing
1601381973,2020-09-29 12:19:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14159274,0.0,,
1601381973,2020-09-29 12:19:33,,,,,,,,,2020-09-29T12:19:33.695Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381974,2020-09-29 12:19:34,,2020-09-29T12:19:34.686Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381974,2020-09-29 12:19:34,,2020-09-29T12:19:34.700Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381974,2020-09-29 12:19:34,,,,,,,,,2020-09-29T12:19:34.744Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381975,2020-09-29 12:19:35,,2020-09-29T12:19:35.772Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381975,2020-09-29 12:19:35,,,,,,,,,2020-09-29T12:19:35.794Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381975,2020-09-29 12:19:35,,2020-09-29T12:19:35.724Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381976,2020-09-29 12:19:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14159274,0.0,,
1601381976,2020-09-29 12:19:36,,2020-09-29T12:19:36.936Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381976,2020-09-29 12:19:36,,,,,,,,,2020-09-29T12:19:36.945Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381976,2020-09-29 12:19:36,,2020-09-29T12:19:36.675Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381976,2020-09-29 12:19:36,,,,,,,,,,,,,,,,,,,,,,2020-09-29T12:19:36.844Z,Iris,20.10.0 (trunk 32309),operational,GPS,20.10.0 (trunk 32309),operational,51.52149,5.87059167,30.0,-155.61763,0.0,3DSearchRadar,0.78539819,2.3561945,12.0,Radar runningData connection OKControl connection OKConstructing
1601381977,2020-09-29 12:19:37,,2020-09-29T12:19:37.641Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381977,2020-09-29 12:19:37,,2020-09-29T12:19:37.978Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381977,2020-09-29 12:19:37,,,,,,,,,2020-09-29T12:19:37.996Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381978,2020-09-29 12:19:38,,2020-09-29T12:19:38.644Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381978,2020-09-29 12:19:38,,2020-09-29T12:19:38.928Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381978,2020-09-29 12:19:38,,,,,,,,,2020-09-29T12:19:38.944Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381979,2020-09-29 12:19:39,,,,,,,,,,,,,,,,,,,,,,2020-09-29T12:19:39.844Z,Iris,20.10.0 (trunk 32309),operational,GPS,20.10.0 (trunk 32309),operational,51.52149,5.87059167,30.0,-155.61763,0.0,3DSearchRadar,0.78539819,2.3561945,15.0,Radar runningData connection OKControl connection OKConstructing
1601381979,2020-09-29 12:19:39,,2020-09-29T12:19:39.661Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381979,2020-09-29 12:19:39,,2020-09-29T12:19:39.999Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381979,2020-09-29 12:19:39,,,,,,,,,2020-09-29T12:19:40.045Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381979,2020-09-29 12:19:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14159274,0.0,,
1601381980,2020-09-29 12:19:40,,2020-09-29T12:19:40.684Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381980,2020-09-29 12:19:40,,2020-09-29T12:19:40.860Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381980,2020-09-29 12:19:40,,,,,,,,,2020-09-29T12:19:40.894Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381981,2020-09-29 12:19:41,,2020-09-29T12:19:41.693Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381981,2020-09-29 12:19:41,,2020-09-29T12:19:41.798Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381981,2020-09-29 12:19:41,,,,,,,,,2020-09-29T12:19:41.867Z,,2020-09-29T12:19:40.794Z,51.52086049,5.85935387,34.27881427,61.02612305,3.42839527,13.87343025,UNKNOWN,5.36848831,0.03833472,False,,,,,,,,,,,,,,,,,
1601381982,2020-09-29 12:19:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14159274,0.0,,
1601381982,2020-09-29 12:19:42,,,,,,,,,2020-09-29T12:19:42.744Z,,2020-09-29T12:19:41.876Z,51.52092982,5.85955274,34.01702324,61.16833496,2.55343843,14.19182777,UNKNOWN,5.01815796,0.22608599,False,,,,,,,,,,,,,,,,,
1601381982,2020-09-29 12:19:42,,,,,,,,,,,,,,,,,,,,,,2020-09-29T12:19:42.845Z,Iris,20.10.0 (trunk 32309),operational,GPS,20.10.0 (trunk 32309),operational,51.52149,5.87059167,30.0,-155.61763,0.0,3DSearchRadar,0.78539819,2.3561945,18.0,Radar runningData connection OKControl connection OKConstructing
1601381982,2020-09-29 12:19:42,,2020-09-29T12:19:42.695Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381982,2020-09-29 12:19:42,,2020-09-29T12:19:42.639Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381983,2020-09-29 12:19:43,,,,,,,,,,,2020-09-29T12:19:42.982Z,51.52356664,5.86008838,50.76398019,287.6322937,16.78851509,9.87345886,UNKNOWN,-20.6207962,0.00163999,False,,,,,,,,,,,,,,,,,
1601381983,2020-09-29 12:19:43,,,,,,,,,2020-09-29T12:19:43.695Z,,2020-09-29T12:19:42.792Z,51.52097685,5.85972473,35.63920364,62.71401215,3.15110207,14.27030563,UNKNOWN,5.36848831,0.38086367,False,,,,,,,,,,,,,,,,,
1601381983,2020-09-29 12:19:43,,2020-09-29T12:19:43.560Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381983,2020-09-29 12:19:43,,2020-09-29T12:19:43.669Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381984,2020-09-29 12:19:44,,2020-09-29T12:19:44.567Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381984,2020-09-29 12:19:44,,2020-09-29T12:19:44.841Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381984,2020-09-29 12:19:44,,,,,,,,,2020-09-29T12:19:44.845Z,,2020-09-29T12:19:43.866Z,51.52106163,5.85990605,34.8876984,58.96191406,2.11645103,14.22190094,UNKNOWN,5.01815796,0.50053525,False,,,,,,,,,,,,,,,,,
1601381984,2020-09-29 12:19:44,,,,,,,,,,,2020-09-29T12:19:43.973Z,51.52352557,5.85991266,52.41861509,274.62524414,14.63740921,10.47321701,UNKNOWN,-21.89543152,0.20013082,False,,,,,,,,,,,,,,,,,
1601381984,2020-09-29 12:19:44,,,,,,,,,,,2020-09-29T12:19:43.718Z,51.51848752,5.85519053,43.81886092,286.39697266,-24.20326996,5.88554716,UNKNOWN,-14.60134888,0.03968036,False,,,,,,,,,,,,,,,,,
1601381985,2020-09-29 12:19:45,,,,,,,,,,,2020-09-29T12:19:44.913Z,51.52356702,5.85982124,67.49625173,282.47607422,27.88607979,10.21422386,UNKNOWN,-22.16627884,0.35883453,False,,,,,,,,,,,,,,,,,
1601381985,2020-09-29 12:19:45,,,,,,,,,,,2020-09-29T12:19:45.276Z,51.53228681,5.86630682,131.56364242,166.13247681,9.22917938,4.74870014,UNKNOWN,-23.78858566,0.00075453,False,,,,,,,,,,,,,,,,,
1601381985,2020-09-29 12:19:45,,,,,,,,,,,2020-09-29T12:19:44.751Z,51.51845932,5.85513712,41.23469853,276.48532104,-26.38673401,5.38108397,UNKNOWN,-13.52767944,0.22981758,False,,,,,,,,,,,,,,,,,
1601381985,2020-09-29 12:19:45,,2020-09-29T12:19:45.696Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381985,2020-09-29 12:19:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14159274,0.0,,
1601381985,2020-09-29 12:19:45,,,,,,,,,,,,,,,,,,,,,,2020-09-29T12:19:45.845Z,Iris,20.10.0 (trunk 32309),operational,GPS,20.10.0 (trunk 32309),operational,51.52149,5.87059167,30.0,-155.61763,0.0,3DSearchRadar,0.78539819,2.3561945,20.0,Radar runningData connection OKControl connection OKConstructing
1601381985,2020-09-29 12:19:45,,2020-09-29T12:19:45.583Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381985,2020-09-29 12:19:45,,,,,,,,,2020-09-29T12:19:45.744Z,,2020-09-29T12:19:44.803Z,51.52107796,5.86008091,35.46291839,65.88105011,2.25713992,13.66986275,VEHICLE,3.30798721,0.60013115,False,,,,,,,,,,,,,,,,,
1601381986,2020-09-29 12:19:46,,,286.0,-24.58267975,2020-09-29T12:19:46.437Z,600.34210205,40.94151992,-162.36762686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381986,2020-09-29 12:19:46,,,,,,,,,,,2020-09-29T12:19:45.772Z,51.51844214,5.85508249,42.0154829,269.66665649,-23.90376663,4.89739609,UNKNOWN,-13.26383209,0.38260135,False,,,,,,,,,,,,,,,,,
1601381986,2020-09-29 12:19:46,,,288.0,-39.16291809,2020-09-29T12:19:46.437Z,466.40750122,17.58439203,-162.36762686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381986,2020-09-29 12:19:46,,2020-09-29T12:19:46.646Z,281.0,-37.33109283,2020-09-29T12:19:46.437Z,219.478302,28.72488989,-162.36762686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381986,2020-09-29 12:19:46,,2020-09-29T12:19:46.680Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381986,2020-09-29 12:19:46,,,,,,,,,,,2020-09-29T12:19:46.308Z,51.53226711,5.86647954,130.57990487,139.48423767,4.79097939,5.36641121,UNKNOWN,-21.9697876,0.1979648,False,,,,,,,,,,,,,,,,,
1601381986,2020-09-29 12:19:46,,,,,,,,,2020-09-29T12:19:46.705Z,,2020-09-29T12:19:45.845Z,51.52115447,5.86029134,35.9595191,63.78263092,1.99244606,14.80440235,VEHICLE,5.01815796,0.67765164,False,,,,,,,,,,,,,,,,,
1601381986,2020-09-29 12:19:46,,,,,,,,,,,2020-09-29T12:19:45.833Z,51.52223293,5.8846282,105.63159285,265.13238525,-6.18783331,13.2166357,UNKNOWN,-37.62232589999999,0.04251743,False,,,,,,,,,,,,,,,,,
1601381986,2020-09-29 12:19:46,,,,,,,,,,,2020-09-29T12:19:45.946Z,51.52367365,5.859547,40.08443196,287.63235474,-10.49358082,8.75545025,UNKNOWN,-20.46139145,0.09130806,False,,,,,,,,,,,,,,,,,
1601381986,2020-09-29 12:19:46,,,,,,,,,,,2020-09-29T12:19:46.115Z,51.52206908,5.86990915,84.86665794,79.75570679,-19.4669857,4.80371141,UNKNOWN,-34.85451889,0.04069845,False,,,,,,,,,,,,,,,,,
1601381986,2020-09-29 12:19:46,,,,,,,,,,,2020-09-29T12:19:44.913Z,51.52356702,5.85982124,67.49625173,282.47607422,27.88607979,10.21422386,UNKNOWN,-22.16627884,0.35883453,False,,,,,,,,,,,,,,,,,
1601381987,2020-09-29 12:19:47,,,526.0,-2.62440491,2020-09-29T12:19:46.519Z,3605.94897461,-5.07518017,31.1323635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381987,2020-09-29 12:19:47,,,588.0,0.16401672,2020-09-29T12:19:46.519Z,3963.53857422,-5.07518017,31.1323635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381987,2020-09-29 12:19:47,,,531.0,-1.90185547,2020-09-29T12:19:46.519Z,3722.78491211,-5.07518017,31.1323635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381987,2020-09-29 12:19:47,,,542.0,-0.74861145,2020-09-29T12:19:46.519Z,4172.02246094,-5.04420356,31.1323635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
