,time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message,datetime(local),altitude(m)
11,1285,2020-09-29 11:58:32,51.5197047827471,5.85849256273662,-0.20669292,-0.0098425199999925,82.2178504,98.335470010252,0,0.6122035022600001,5.3490487276,14,0,0,98.542162930252,0.0,2.585678946,5.3490487276,0.0,0.0,0.0,45.9,-12.9,-11.2,0,0,1024,1024,1024,1024,0,0,94,,,,,,,0,32,98.335470010252,-0.20669292,6,P-GPS,,2020-09-29 13:58:32,29.97265125912481
15,1485,2020-09-29 11:58:32,51.5197047827471,5.85849256273662,-0.58398952,-0.38713911999999,82.2178504,97.958173410252,0,0.6905590365800001,5.3490487276,14,0,0,98.542162930252,0.0,2.585678946,5.3490487276,0.0,0.0,0.0,44.6,-10.8,-12.3,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,97.958173410252,-0.58398952,6,P-GPS,,2020-09-29 13:58:32,29.85765125544481
9,1086,2020-09-29 11:58:32,51.5197047827471,5.85849256273662,-1.24343836,-1.04658796,82.2178504,97.298724570252,0,1.9834477222599998,5.3490487276,13,0,0,98.542162930252,0.0,2.585678946,5.3490487276,0.223694,0.0,0.0,38.0,-6.9,-3.6,0,0,1024,1024,1024,1024,0,0,94,,,,,,,0,32,97.298724570252,-1.24343836,6,P-GPS,,2020-09-29 13:58:32,29.656651249012814
8,885,2020-09-29 11:58:32,51.51969818844339,5.858490065011389,-1.24343836,-1.14501316,82.3162756,97.298724570252,0,1.9834477222599998,2.88099090584,13,0,0,98.542162930252,0.0,2.585678946,2.88099090584,0.223694,0.0,0.0,38.0,-6.9,-3.6,0,0,1024,1024,1024,1024,0,0,94,,,,,,,0,32,97.298724570252,-1.24343836,6,P-GPS,,2020-09-29 13:58:32,29.656651249012814
7,685,2020-09-29 11:58:32,51.51969818844339,5.858490065011389,-1.4107611999999998,-1.3123360000000002,82.3162756,97.131401730252,0,2.585678946,2.88099090584,13,0,0,98.542162930252,0.0,2.585678946,2.88099090584,0.223694,0.0,0.0,35.7,-8.1,-1.6,0,0,1024,1024,1024,1024,0,0,94,,,,,,,0,32,97.131401730252,-1.4107611999999998,6,P-GPS,,2020-09-29 13:58:32,29.60565124738081
10,1087,2020-09-29 11:58:32,51.5197047827471,5.85849256273662,-1.24343836,-1.04658796,82.2178504,97.298724570252,0,1.9834477222599998,5.3490487276,14,0,0,98.542162930252,0.0,2.585678946,5.3490487276,0.223694,0.0,0.0,38.0,-6.9,-3.6,0,0,1024,1024,1024,1024,0,0,94,,,,,,,0,32,97.298724570252,-1.24343836,6,P-GPS,,2020-09-29 13:58:32,29.656651249012814
22,2493,2020-09-29 11:58:33,51.519706034356794,5.858483348406089,8.07742808,8.27427848,82.2178504,106.61959101024999,0,15.3068435544,5.8095146216,14,0,0,106.61959101024999,8.07742808,16.7997102022,5.8095146216,0.447388,-1.342164,-0.223694,273.9,14.7,-8.2,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,106.61959101024999,8.07742808,6,P-GPS,,2020-09-29 13:58:33,32.4976513399242
20,2288,2020-09-29 11:58:33,51.519706034356794,5.858483348406089,6.56168,6.758530400000001,82.2178504,105.10384293025,0,16.7997102022,5.8095146216,14,0,0,105.10384293025,6.56168,16.7997102022,5.8095146216,0.447388,-1.565858,-0.447388,286.5,-1.4,19.5,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,105.10384293025,6.56168,6,P-GPS,,2020-09-29 13:58:33,32.0356513251402
19,2093,2020-09-29 11:58:33,51.519706034356794,5.858483348406089,2.25065624,2.44750664,82.2178504,100.79281917025,0,1.8803605793,5.8095146216,14,0,0,100.79281917025,2.25065624,2.585678946,5.8095146216,0.0,-0.223694,0.0,39.2,-1.4,-15.1,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,100.79281917025,2.25065624,6,P-GPS,,2020-09-29 13:58:33,30.7216512830922
21,2488,2020-09-29 11:58:33,51.519706034356794,5.858483348406089,8.07742808,8.27427848,82.2178504,106.61959101024999,0,15.3068435544,5.8095146216,14,0,0,106.61959101024999,8.07742808,16.7997102022,5.8095146216,0.447388,-1.342164,-0.223694,273.9,14.7,-8.2,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,106.61959101024999,8.07742808,6,P-GPS,,2020-09-29 13:58:33,32.4976513399242
17,1886,2020-09-29 11:58:33,51.5197047827471,5.85849256273662,2.25065624,2.44750664,82.2178504,100.79281917025,0,1.8803605793,5.3490487276,14,0,0,100.79281917025,2.25065624,2.585678946,5.3490487276,0.0,-0.223694,0.0,39.2,-1.4,-15.1,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,100.79281917025,2.25065624,6,P-GPS,,2020-09-29 13:58:33,30.7216512830922
16,1686,2020-09-29 11:58:33,51.5197047827471,5.85849256273662,0.738189,0.93503940000001,82.2178504,99.280351930252,0,1.00388498544,5.3490487276,14,0,0,99.280351930252,0.738189,2.585678946,5.3490487276,0.0,0.0,0.0,42.4,-7.7,-15.6,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,99.280351930252,0.738189,6,P-GPS,,2020-09-29 13:58:33,30.26065126834081
18,2092,2020-09-29 11:58:33,51.519706034356794,5.858483348406089,2.25065624,2.44750664,82.2178504,100.79281917025,0,1.8803605793,5.8095146216,14,0,0,100.79281917025,2.25065624,2.585678946,5.8095146216,0.0,-0.223694,0.0,39.2,-1.4,-15.1,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,100.79281917025,2.25065624,6,P-GPS,,2020-09-29 13:58:33,30.7216512830922
23,2691,2020-09-29 11:58:34,51.519706034356794,5.858483348406089,8.46128636,8.65813676,82.2178504,107.00344929024999,0,17.3576254076,5.8095146216,14,0,0,107.00344929024999,8.46128636,17.3576254076,5.8095146216,0.671082,-1.565858,-0.223694,263.5,13.7,-26.9,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,107.00344929024999,8.46128636,6,P-GPS,,2020-09-29 13:58:34,32.6146513436682
24,2767,2020-09-29 11:58:34,51.519706034356794,5.858483348406089,8.46128636,8.65813676,82.2178504,107.00344929024999,0,17.3576254076,5.8095146216,14,0,0,107.00344929024999,8.46128636,17.3576254076,5.8095146216,0.671082,-1.565858,-0.223694,263.5,13.7,-26.9,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,107.00344929024999,8.46128636,6,P-GPS,,2020-09-29 13:58:34,32.6146513436682
25,2892,2020-09-29 11:58:34,51.519706034356794,5.858483348406089,10.52493472,10.72178512,82.2178504,109.06709765024999,0,18.6998788852,5.8095146216,14,0,0,109.06709765024999,10.52493472,18.6998788852,5.8095146216,0.671082,-1.565858,-0.447388,260.8,18.0,-19.3,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,109.06709765024999,10.52493472,6,P-GPS,,2020-09-29 13:58:34,33.2436513637962
26,3093,2020-09-29 11:58:34,51.51973145360121,5.8583768696969605,10.52493472,10.91863552,82.021,109.06709765024999,0,18.6998788852,29.3616479212,14,0,0,109.06709765024999,10.52493472,18.6998788852,29.3616479212,0.671082,-1.565858,-0.447388,260.8,18.0,-19.3,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,109.06709765024999,10.52493472,6,P-GPS,,2020-09-29 13:58:34,33.2436513637962
27,3094,2020-09-29 11:58:34,51.51973145360121,5.8583768696969605,11.30905548,11.70275628,82.021,109.85121841025,0,19.5798910812,29.3616479212,14,0,0,109.85121841025,11.30905548,19.5798910812,29.3616479212,0.447388,-1.789552,-0.671082,261.0,28.1,-5.4,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,109.85121841025,11.30905548,6,P-GPS,,2020-09-29 13:58:34,33.4826513714442
28,3300,2020-09-29 11:58:34,51.51973145360121,5.8583768696969605,14.98687712,15.38057792,82.021,113.52904005024999,0,19.901719639,29.3616479212,14,0,0,113.52904005024999,14.98687712,19.901719639,29.3616479212,0.223694,-1.789552,-0.894776,261.0,29.5,-3.3,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,113.52904005024999,14.98687712,6,P-GPS,,2020-09-29 13:58:34,34.6036514073162
34,4106,2020-09-29 11:58:35,51.5197377991391,5.858278893618469,24.99343912,24.73097192,82.67716800000001,123.53560205024999,0,20.568104065,50.54626146,14,0,0,123.53560205024999,24.99343912,20.7107537288,50.54626146,0.223694,-1.342164,-1.565858,255.3,35.7,-4.0,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,123.53560205024999,24.99343912,6,P-GPS,,2020-09-29 13:58:35,37.6536515049162
35,4308,2020-09-29 11:58:35,51.5197377991391,5.858278893618469,30.65616896,30.39370176,82.67716800000001,129.19833189025,0,19.5599599458,50.54626146,14,0,0,129.19833189025,30.65616896,20.7107537288,50.54626146,0.0,-1.342164,-1.565858,258.3,36.1,0.8,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,129.19833189025,30.65616896,6,P-GPS,,2020-09-29 13:58:35,39.3796515601482
32,3904,2020-09-29 11:58:35,51.51973145360121,5.8583768696969605,24.99343912,25.38713992,82.021,123.53560205024999,0,20.568104065,29.3616479212,14,0,0,123.53560205024999,24.99343912,20.7107537288,29.3616479212,0.223694,-1.342164,-1.565858,255.3,35.7,-4.0,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,123.53560205024999,24.99343912,6,P-GPS,,2020-09-29 13:58:35,37.6536515049162
33,4104,2020-09-29 11:58:35,51.5197377991391,5.858278893618469,24.99343912,24.73097192,82.67716800000001,123.53560205024999,0,20.568104065,50.54626146,14,0,0,123.53560205024999,24.99343912,20.7107537288,50.54626146,0.223694,-1.342164,-1.565858,255.3,35.7,-4.0,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,123.53560205024999,24.99343912,6,P-GPS,,2020-09-29 13:58:35,37.6536515049162
30,3557,2020-09-29 11:58:35,51.51973145360121,5.8583768696969605,19.10761216,19.50131296,82.021,117.64977509025,0,20.7029691776,29.3616479212,14,0,0,117.64977509025,19.10761216,20.7029691776,29.3616479212,0.223694,-1.789552,-1.11847,259.0,33.4,-4.5,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,117.64977509025,19.10761216,6,P-GPS,,2020-09-29 13:58:35,35.859651447508206
29,3502,2020-09-29 11:58:35,51.51973145360121,5.8583768696969605,19.10761216,19.50131296,82.021,117.64977509025,0,20.7029691776,29.3616479212,14,0,0,117.64977509025,19.10761216,20.7029691776,29.3616479212,0.223694,-1.789552,-1.11847,259.0,33.4,-4.5,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,117.64977509025,19.10761216,6,P-GPS,,2020-09-29 13:58:35,35.859651447508206
31,3704,2020-09-29 11:58:35,51.51973145360121,5.8583768696969605,20.58070932,20.97441012,82.021,119.12287225025,0,20.7107537288,29.3616479212,14,0,0,119.12287225025,20.58070932,20.7107537288,29.3616479212,0.223694,-1.565858,-1.342164,256.7,36.0,-5.8,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,119.12287225025,20.58070932,6,P-GPS,,2020-09-29 13:58:35,36.3086514618762
42,5114,2020-09-29 11:58:36,51.519739414239105,5.85820299302429,49.27165512,48.12336112,83.5629948,147.81381805025,0,17.932541357,67.151905036,14,0,0,147.81381805025,49.27165512,20.7107537288,67.151905036,0.0,-1.11847,-1.342164,259.1,32.1,2.7,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,147.81381805025,49.27165512,6,P-GPS,,2020-09-29 13:58:36,45.0536517417162
36,4510,2020-09-29 11:58:36,51.5197377991391,5.858278893618469,36.2368778,35.974410600000006,82.67716800000001,134.77904073025,0,19.1940413006,50.54626146,14,0,0,134.77904073025,36.2368778,20.7107537288,50.54626146,0.0,-1.11847,-1.565858,258.3,33.6,2.0,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,134.77904073025,36.2368778,6,P-GPS,,2020-09-29 13:58:36,41.0806516145802
37,4633,2020-09-29 11:58:36,51.5197377991391,5.858278893618469,36.2368778,35.974410600000006,82.67716800000001,134.77904073025,0,19.1940413006,50.54626146,14,0,0,134.77904073025,36.2368778,20.7107537288,50.54626146,0.0,-1.11847,-1.565858,258.3,33.6,2.0,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,134.77904073025,36.2368778,6,P-GPS,,2020-09-29 13:58:36,41.0806516145802
38,4710,2020-09-29 11:58:36,51.5197377991391,5.858278893618469,40.64632676,40.38385956,82.67716800000001,139.18848969025,0,18.9507069674,50.54626146,14,0,0,139.18848969025,40.64632676,20.7107537288,50.54626146,0.0,-1.11847,-1.565858,258.5,34.2,1.9,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,139.18848969025,40.64632676,6,P-GPS,,2020-09-29 13:58:36,42.42465165758821
39,4910,2020-09-29 11:58:36,51.5197377991391,5.858278893618469,44.53084132,44.26837412,82.67716800000001,143.07300425025,0,18.425585302400002,50.54626146,14,0,0,143.07300425025,44.53084132,20.7107537288,50.54626146,0.0,-1.11847,-1.342164,258.7,33.2,2.2,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,143.07300425025,44.53084132,6,P-GPS,,2020-09-29 13:58:36,43.6086516954762
40,5110,2020-09-29 11:58:36,51.519739414239105,5.85820299302429,44.53084132,43.38254732,83.5629948,143.07300425025,0,18.425585302400002,67.151905036,14,0,0,143.07300425025,44.53084132,20.7107537288,67.151905036,0.0,-1.11847,-1.342164,258.7,33.2,2.2,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,143.07300425025,44.53084132,6,P-GPS,,2020-09-29 13:58:36,43.6086516954762
41,5112,2020-09-29 11:58:36,51.519739414239105,5.85820299302429,44.53084132,43.38254732,83.5629948,143.07300425025,0,18.425585302400002,67.151905036,14,0,0,143.07300425025,44.53084132,20.7107537288,67.151905036,0.0,-1.11847,-1.342164,258.7,33.2,2.2,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,143.07300425025,44.53084132,6,P-GPS,,2020-09-29 13:58:36,43.6086516954762
43,5310,2020-09-29 11:58:36,51.519739414239105,5.85820299302429,52.88385996,51.73556596,83.5629948,151.42602289025,0,17.4445305266,67.151905036,14,0,0,151.42602289025,52.88385996,20.7107537288,67.151905036,0.0,-1.11847,-1.342164,259.7,31.1,3.5,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,151.42602289025,52.88385996,6,P-GPS,,2020-09-29 13:58:36,46.15465177694821
49,6314,2020-09-29 11:58:37,51.5197402374654,5.8581268813080705,68.80249564,66.76837484,84.44882159999999,167.34465857025,0,16.6556065274,83.9977061,14,0,0,167.34465857025,68.80249564,20.7107537288,83.9977061,0.0,-1.342164,-1.11847,262.8,28.4,6.5,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,167.34465857025,68.80249564,6,P-GPS,,2020-09-29 13:58:37,51.0066519322122
47,5912,2020-09-29 11:58:37,51.519739414239105,5.85820299302429,62.44750856,61.29921456,83.5629948,160.98967149025,0,16.5783873586,67.151905036,14,0,0,160.98967149025,62.44750856,20.7107537288,67.151905036,0.0,-1.11847,-1.11847,261.6,29.0,5.4,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,160.98967149025,62.44750856,6,P-GPS,,2020-09-29 13:58:37,49.069651870228206
48,6113,2020-09-29 11:58:37,51.5197402374654,5.8581268813080705,62.44750856,60.41338776,84.44882159999999,160.98967149025,0,16.5783873586,83.9977061,14,0,0,160.98967149025,62.44750856,20.7107537288,83.9977061,0.0,-1.11847,-1.11847,261.6,29.0,5.4,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,160.98967149025,62.44750856,6,P-GPS,,2020-09-29 13:58:37,49.069651870228206
45,5701,2020-09-29 11:58:37,51.519739414239105,5.85820299302429,55.32808576,54.17979176,83.5629948,153.87024869025,0,17.2315514692,67.151905036,14,0,0,153.87024869025,55.32808576,20.7107537288,67.151905036,0.0,-1.11847,-1.342164,259.9,30.0,4.9,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,153.87024869025,55.32808576,6,P-GPS,,2020-09-29 13:58:37,46.899651800788206
44,5511,2020-09-29 11:58:37,51.519739414239105,5.85820299302429,55.32808576,54.17979176,83.5629948,153.87024869025,0,17.2315514692,67.151905036,14,0,0,153.87024869025,55.32808576,20.7107537288,67.151905036,0.0,-1.11847,-1.342164,259.9,30.0,4.9,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,153.87024869025,55.32808576,6,P-GPS,,2020-09-29 13:58:37,46.899651800788206
46,5719,2020-09-29 11:58:37,51.519739414239105,5.85820299302429,58.34317772,57.19488372,83.5629948,156.88534065025,0,16.861606332,67.151905036,14,0,0,156.88534065025,58.34317772,20.7107537288,67.151905036,0.0,-1.11847,-1.11847,260.8,29.5,5.2,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,156.88534065025,58.34317772,6,P-GPS,,2020-09-29 13:58:37,47.818651830196195
56,7322,2020-09-29 11:58:38,51.5197439480258,5.85804363078646,85.39042268,82.50328348,85.30184,183.93258561025002,0,16.971238761400002,102.77985893200001,15,0,0,183.93258561025002,85.39042268,20.7107537288,102.77985893200001,0.223694,-1.342164,-1.11847,268.4,29.5,6.2,0,0,1024,1024,1024,1024,0,0,92,,,,,,,0,32,183.93258561025002,85.39042268,6,P-GPS,,2020-09-29 13:58:38,56.06265209400421
55,7116,2020-09-29 11:58:38,51.5197439480258,5.85804363078646,78.83858520000001,75.95144599999999,85.30184,177.38074813025003,0,16.807807925,102.77985893200001,14,0,0,177.38074813025003,78.83858520000001,20.7107537288,102.77985893200001,0.0,-1.342164,-1.11847,266.1,29.3,6.8,0,0,1024,1024,1024,1024,0,0,92,,,,,,,0,32,177.38074813025003,78.83858520000001,6,P-GPS,,2020-09-29 13:58:38,54.06565203010021
54,6915,2020-09-29 11:58:38,51.5197402374654,5.8581268813080705,78.83858520000001,76.80446440000001,84.44882159999999,177.38074813025003,0,16.807807925,83.9977061,14,0,0,177.38074813025003,78.83858520000001,20.7107537288,83.9977061,0.0,-1.342164,-1.11847,266.1,29.3,6.8,0,0,1024,1024,1024,1024,0,0,92,,,,,,,0,32,177.38074813025003,78.83858520000001,6,P-GPS,,2020-09-29 13:58:38,54.06565203010021
50,6513,2020-09-29 11:58:38,51.5197402374654,5.8581268813080705,71.31233824,69.27821744,84.44882159999999,169.85450117025,0,16.5768886088,83.9977061,14,0,0,169.85450117025,71.31233824,20.7107537288,83.9977061,0.0,-1.342164,-1.11847,263.5,28.4,6.7,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,169.85450117025,71.31233824,6,P-GPS,,2020-09-29 13:58:38,51.771651956692196
52,6764,2020-09-29 11:58:38,51.5197402374654,5.8581268813080705,75.92519928,73.89107848,84.44882159999999,174.46736221025,0,16.8273587806,83.9977061,14,0,0,174.46736221025,75.92519928,20.7107537288,83.9977061,0.0,-1.342164,-1.11847,265.3,29.2,5.8,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,174.46736221025,75.92519928,6,P-GPS,,2020-09-29 13:58:38,53.1776520016842
51,6715,2020-09-29 11:58:38,51.5197402374654,5.8581268813080705,75.92519928,73.89107848,84.44882159999999,174.46736221025,0,16.8273587806,83.9977061,14,0,0,174.46736221025,75.92519928,20.7107537288,83.9977061,0.0,-1.342164,-1.11847,265.3,29.2,5.8,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,174.46736221025,75.92519928,6,P-GPS,,2020-09-29 13:58:38,53.1776520016842
53,6914,2020-09-29 11:58:38,51.5197402374654,5.8581268813080705,75.92519928,73.89107848,84.44882159999999,174.46736221025,0,16.8273587806,83.9977061,14,0,0,174.46736221025,75.92519928,20.7107537288,83.9977061,0.0,-1.342164,-1.11847,265.3,29.2,5.8,0,0,1024,1024,1024,1024,0,0,92,,,,,,,0,32,174.46736221025,75.92519928,6,P-GPS,,2020-09-29 13:58:38,53.1776520016842
63,8330,2020-09-29 11:58:39,51.51975037431729,5.85796555732399,101.22703736,98.33989816,85.30184,199.76920029025,0,17.1444002868,120.63156554,15,0,0,199.76920029025,101.22703736,20.7107537288,120.63156554,0.223694,-1.11847,-1.11847,274.0,30.5,4.9,0,0,1024,1024,1024,1024,0,0,92,,,,,,,0,32,199.76920029025,101.22703736,6,P-GPS,,2020-09-29 13:58:39,60.88965224846821
57,7522,2020-09-29 11:58:39,51.5197439480258,5.85804363078646,88.66142016,85.77428096,85.30184,187.20358309025002,0,16.800426023,102.77985893200001,15,0,0,187.20358309025002,88.66142016,20.7107537288,102.77985893200001,0.223694,-1.342164,-1.11847,269.9,28.4,5.9,0,0,1024,1024,1024,1024,0,0,92,,,,,,,0,32,187.20358309025002,88.66142016,6,P-GPS,,2020-09-29 13:58:39,57.05965212590821
58,7722,2020-09-29 11:58:39,51.5197439480258,5.85804363078646,91.00722076,88.12008156,85.30184,189.54938369025,0,16.797518001,102.77985893200001,15,0,0,189.54938369025,91.00722076,20.7107537288,102.77985893200001,0.223694,-1.342164,-1.11847,271.0,28.7,7.1,0,0,1024,1024,1024,1024,0,0,92,,,,,,,0,32,189.54938369025,91.00722076,6,P-GPS,,2020-09-29 13:58:39,57.774652148788206
59,7837,2020-09-29 11:58:39,51.5197439480258,5.85804363078646,91.00722076,88.12008156,85.30184,189.54938369025,0,16.797518001,102.77985893200001,15,0,0,189.54938369025,91.00722076,20.7107537288,102.77985893200001,0.223694,-1.342164,-1.11847,271.0,28.7,7.1,0,0,1024,1024,1024,1024,0,0,92,,,,,,,0,32,189.54938369025,91.00722076,6,P-GPS,,2020-09-29 13:58:39,57.774652148788206
60,7929,2020-09-29 11:58:39,51.5197439480258,5.85804363078646,95.31168284,92.42454364,85.30184,193.85384577025002,0,16.834136708800003,102.77985893200001,15,0,0,193.85384577025002,95.31168284,20.7107537288,102.77985893200001,0.223694,-1.342164,-1.11847,271.9,29.8,7.5,0,0,1024,1024,1024,1024,0,0,92,,,,,,,0,32,193.85384577025002,95.31168284,6,P-GPS,,2020-09-29 13:58:39,59.086652190772206
